id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,budget
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,40.685140000000004,-73.95976,Entire home/apt,89,1,270,2019-07-05,4.64,1,194,Average
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788000000001,Private room,55,7,27,2017-09-30,0.23,2,292,Average
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,2019-06-26,0.92,1,304,Average
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.96600000000001,Private room,98,7,16,2019-05-31,0.2,6,185,Average
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96571999999999,Private room,125,2,19,2019-06-02,0.2,6,250,Average
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-07-03,2.35,1,278,Average
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24,3.89,3,275,Average
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,2019-07-01,0.77,3,365,Average
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408000000001,Private room,70,2,294,2019-06-24,3.47,3,336,Average
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,425506,Bliss,Brooklyn,Clinton Hill,40.6848,-73.96219,Entire home/apt,350,6,14,2019-04-20,0.3,1,156,Average
89427,The Brooklyn Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68613,-73.96536,Entire home/apt,650,5,0,,,3,365,Average
96471,"The Brooklyn Waverly, One Bedroom",116599,Sahr,Brooklyn,Clinton Hill,40.684129999999996,-73.96542,Private room,165,4,11,2019-06-07,0.11,3,365,Average
158290,Clinton Hill + Free Coffee = #smile,759583,Pepe,Brooklyn,Clinton Hill,40.68288,-73.96024,Private room,75,3,43,2019-05-20,0.44,2,365,Average
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.96161,Entire home/apt,248,2,58,2019-06-04,0.61,6,199,Average
219482,A Cozy Brooklyn Hideaway,759583,Pepe,Brooklyn,Clinton Hill,40.68275,-73.96148000000001,Entire home/apt,172,4,8,2017-10-14,0.09,2,189,Average
225926,The Notorious B.N.B. { The Erhart },1177497,Jessica,Brooklyn,Clinton Hill,40.68999,-73.96710999999999,Private room,239,1,164,2019-07-01,1.73,11,356,Average
241140,The Notorious B.N.B. { The Wallace },1177497,Jessica,Brooklyn,Clinton Hill,40.68975,-73.96703000000001,Private room,438,1,43,2019-04-14,0.46,11,363,Average
242532,The Notorious B.N.B. { The Swoon },1177497,Jessica,Brooklyn,Clinton Hill,40.6893,-73.96602,Private room,279,1,120,2019-06-19,1.28,11,362,Average
254409,Husband & Wife Art-Filled Apartment,1336542,Stephanie,Brooklyn,Clinton Hill,40.68197,-73.96549,Entire home/apt,110,1,2,2014-01-13,0.03,1,0,Average
258284,"Fresh, Clean Brooklyn Garden Apt.",1358312,S,Brooklyn,Clinton Hill,40.68618,-73.96144,Entire home/apt,154,3,233,2019-04-10,2.5,1,0,Average
